name	glycemic_index
Beets, cooked, from fresh, NS as to fat added in cooking	64.0
Beets, cooked, NS as to form, fat added in cooking	64.0
Beets, cooked, NS as to form, fat not added in cooking	64.0
Beets, cooked, NS as to form, NS as to fat added in cooking	64.0
Beets, pickled	65.5
Beets, raw	64.0
Berries, raw, NFS	40.0
Berry Berry Kix	113.0
Biscuit dough, fried	66.0
Biscuit, baking powder or buttermilk type, commercially baked	92.0
Biscuit, baking powder or buttermilk type, made from home recipe	92.0
Biscuit, baking powder or buttermilk type, made from mix	92.0
Biscuit, baking powder or buttermilk type, made from refrigerated dough	92.0
Biscuit, baking powder or buttermilk type, made from refrigerated dough, lowfat	92.0
Biscuit, baking powder or buttermilk type, NS as to made from mix, refrigerated dough, or home recipe	92.0
Bitter melon, cooked, fat not added in cooking	32.0
Black bean soup	64.0
Black, brown, or Bayo beans, dry, cooked, fat added in cooking	20.0
Black, brown, or Bayo beans, dry, cooked, fat not added in cooking	20.0
Black, brown, or Bayo beans, dry, cooked, NS as to fat added in cooking	20.0
Blood sausage	28.0
Blue or roquefort cheese dressing	50.0
Blue or roquefort cheese dressing, low-calorie	50.0
Blue or roquefort cheese dressing, reduced calorie	50.0
Blue or roquefort cheese dressing, reduced calorie, fat-free, cholesterol-free	50.0
Blueberries, raw	40.0
Boiled, cooked-type dressing	50.0
Bologna ring, smoked	28.0
Bologna, beef	28.0
Bologna, beef and pork, lowfat	28.0
Bologna, beef, lower sodium	28.0
Bologna, beef, lowfat	28.0
Bologna, chicken, beef, and pork	28.0
Bologna, Lebanon	28.0
Bologna, NFS	28.0
Bologna, pork	28.0
Bologna, pork and beef	28.0
Bologna, turkey	28.0
Boston baked beans	48.0
Bran Chex	58.0
Bran Flakes, NFS (formerly 40% Bran Flakes, NFS)	74.0
Brandy	0.0
Bratwurst, cooked	28.0
Bread stick, hard, low sodium	70.0
Bread stick, hard, whole wheat, NS as to 100%	83.0
Bread stick, NS as to hard or soft	70.0
Bread stick, soft	70.0
Bread stick, soft, prepared with garlic and parmesan cheese	70.0
Bread sticks, hard	70.0
Bread stuffing	74.0
Bread stuffing made with egg	74.0
Bread, barley	67.0
Bread, black	76.0
Bread, black, toasted	76.0
Bread, cinnamon	70.0
Bread, cinnamon, toasted	73.0
Bread, Cuban	95.0
Bread, Cuban, toasted	95.0
Bread, dough, fried	66.0
Bread, French or Vienna	95.0
Bread, French or Vienna, toasted	95.0
Bread, French or Vienna, whole wheat, other than 100% or NS as to 100%, made from home recipe or purchased at bakery	71.0
Bread, French or Vienna, whole wheat, other than 100% or NS as to 100%, made from home recipe or purchased at bakery, toasted	71.0
Bread, fruit and nut	57.9
Bread, fruit, without nuts	57.9
Bread, garlic	95.0
Bread, garlic, toasted	95.0
Bread, Italian, Grecian, Armenian	70.0
Bread, Italian, Grecian, Armenian, toasted	73.0
Bread, lowfat, 98% fat free	95.0
Bread, lowfat, 98% fat free, toasted	95.0
Bread, made from home recipe or purchased at a bakery, NS as to major flour	70.0
Bread, made from home recipe or purchased at a bakery, toasted, NS as to major flour	73.0
Bread, marble rye and pumpernickel	50.0
Bread, marble rye and pumpernickel, toasted	50.0
Bread, multigrain	43.0
Bread, multigrain, reduced calorie and/or high fiber	43.0
Bread, multigrain, reduced calorie and/or high fiber, toasted	43.0
Bread, multigrain, toasted	43.0
Bread, multigrain, with raisins	43.0
Bread, multigrain, with raisins, toasted	43.0
Bread, Native, Puerto Rican style (Pan Criollo)	70.0
Bread, Native, Puerto Rican style, toasted (Pan Criollo)	73.0
Bread, NS as to major flour	70.0
Bread, nut	57.9
Bread, oat bran	31.0
Bread, oat bran, reduced calorie and/or high fiber	31.0
Bread, oat bran, reduced calorie and/or high fiber, toasted	31.0
Bread, oat bran, toasted	31.0
Bread, oatmeal	55.0
Bread, oatmeal, toasted	55.0
Bread, pita	57.0
Bread, pita, toasted	57.0
Bread, pita, wheat or cracked wheat	53.0
Bread, pita, wheat or cracked wheat, toasted	53.0
Bread, pita, whole wheat, 100%	71.0
Bread, pita, whole wheat, 100%, toasted	71.0
Bread, pita, whole wheat, other than 100% or NS as to 100%	71.0
Bread, pita, whole wheat, other than 100% or NS as to 100%, toasted	71.0
Bread, pumpernickel	50.0
Bread, pumpernickel, toasted	50.0
Bread, pumpkin	57.9
Bread, raisin	63.0
Bread, raisin, toasted	63.0
Bread, reduced calorie and/or high fiber, Italian	68.0
Bread, reduced calorie and/or high fiber, Italian, toasted	68.0
Bread, reduced calorie and/or high fiber, white or NFS	68.0
Bread, reduced calorie and/or high fiber, white or NFS, toasted	68.0
Bread, reduced calorie and/or high fiber, white or NFS, with fruit and/or nuts	68.0
Bread, reduced calorie and/or high fiber, white or NFS, with fruit and/or nuts, toasted	68.0
Bread, rice, toasted	66.5
Bread, rye	58.0
Bread, rye, reduced calorie and/or high fiber	68.0
Bread, rye, reduced calorie and/or high fiber, toasted	68.0
Bread, rye, toasted	58.0
Bread, sour dough	54.0
Bread, sour dough, toasted	54.0
Bread, sprouted wheat, toasted	53.0
Bread, sunflower meal	57.0
Bread, wheat bran	71.0
Bread, wheat bran, toasted	71.0
Bread, wheat or cracked wheat	71.0
Bread, wheat or cracked wheat, made from home recipe or purchased at bakery	53.0
Bread, wheat or cracked wheat, made from home recipe or purchased at bakery, toasted	53.0
Bread, wheat or cracked wheat, reduced calorie and/or high fiber	71.0
Bread, wheat or cracked wheat, reduced calorie and/or high fiber, toasted	71.0
Bread, wheat or cracked wheat, toasted	71.0
Bread, wheat or cracked wheat, with raisins	53.0
Bread, wheat or cracked wheat, with raisins, toasted	53.0
Bread, white	70.0
Bread, white with whole wheat swirl	70.0
Bread, white with whole wheat swirl, toasted	70.0
Bread, white, low sodium or no salt	70.0
Bread, white, low sodium or no salt, toasted	73.0
Bread, white, made from home recipe or purchased at a bakery	70.0
Bread, white, made from home recipe or purchased at a bakery, toasted	73.0
Bread, white, special formula, added fiber	68.0
Bread, white, toasted	73.0
Bread, whole wheat, 100%	71.0
Bread, whole wheat, 100%, made from home recipe or purchased at bakery	71.0
Bread, whole wheat, 100%, made from home recipe or purchased at bakery, toasted	71.0
Bread, whole wheat, 100%, toasted	71.0
Bread, whole wheat, 100%, with raisins	71.0
Bread, whole wheat, 100%, with raisins, toasted	71.0
Bread, whole wheat, NS as to 100%, with raisins	71.0
Bread, whole wheat, NS as to 100%, with raisins, toasted	71.0
Bread, whole wheat, other than 100% or NS as to 100%	71.0
Bread, whole wheat, other than 100% or NS as to 100%, made from home recipe or purchased at bakery	71.0
Bread, whole wheat, other than 100% or NS as to 100%, made from home recipe or purchased at bakery, toasted	71.0
Bread, whole wheat, other than 100% or NS as to 100%, toasted	71.0
Bread, zucchini	57.9
Breadfruit, cooked, fat not added in cooking	68.0
Breakfast bar, cake-like	57.0
Breakfast bar, cereal crust with fruit filling, fat free	72.0
Breakfast bar, cereal crust with fruit filling, lowfat	72.0
Breakfast bar, date, with yogurt coating	53.5
Breakfast bar, diet meal type	39.3
Breakfast bar, NFS	57.0
Breakfast pastry, NFS	59.0
Breakfast tart	70.0
Breakfast tart, lowfat	70.0
Brioche	67.0
Broccoflower, cooked, fat added in cooking	32.0
Broccoflower, cooked, fat not added in cooking	32.0
Broccoli cheese soup, prepared with milk	27.0
Broccoli soup	27.0
Broccoli, cooked, from fresh, fat added in cooking	32.0
Broccoli, cooked, from fresh, fat not added in cooking	32.0
Broccoli, cooked, from fresh, NS as to fat added in cooking	32.0
Broccoli, cooked, from fresh, with cheese sauce	28.8
Broccoli, cooked, from fresh, with cream sauce	28.2
Broccoli, cooked, from frozen, fat added in cooking	32.0
Broccoli, cooked, from frozen, fat not added in cooking	32.0
Broccoli, cooked, from frozen, NS as to fat added in cooking	32.0
Broccoli, cooked, from frozen, with cheese sauce	29.1
Broccoli, cooked, from frozen, with cream sauce	28.4
Broccoli, cooked, NS as to form, fat added in cooking	32.0
Broccoli, cooked, NS as to form, fat not added in cooking	32.0
Broccoli, cooked, NS as to form, NS as to fat added in cooking	32.0
Broccoli, cooked, NS as to form, with cheese sauce	28.8
Broccoli, cooked, NS as to form, with cream sauce	28.4
Broccoli, raw	32.0
Brussels sprouts, cooked, from fresh, fat not added in cooking	32.0
Brussels sprouts, cooked, from fresh, NS as to fat added in cooking	32.0
Brussels sprouts, cooked, from frozen, fat added in cooking	32.0
Brussels sprouts, cooked, from frozen, fat not added in cooking	32.0
Brussels sprouts, cooked, NS as to form, fat not added in cooking	32.0
Brussels sprouts, from frozen, creamed	29.3
Brussels sprouts, NS as to form, creamed	29.3
Brussels sprouts, raw	32.0
Buckwheat groats, cooked, fat added in cooking	45.0
Buckwheat groats, cooked, fat not added in cooking	45.0
Bulgur, cooked or canned, fat added in cooking	48.0
Bulgur, cooked or canned, fat not added in cooking	48.0
Bulgur, cooked or canned, NS as to fat added in cooking	48.0
Burrito with beans and cheese, meatless	34.0
Burrito with beef and beans	34.0
Burrito with beef and cheese, no beans	29.9
Burrito with beef, beans, and cheese	34.0
Burrito with beef, beans, cheese, and sour cream	32.9
Burrito with eggs, sausage, cheese and vegetables	30.8
Butter-margarine blend, stick, salted	50.0
Butter-margarine blend, stick, unsalted	50.0
Butter-margarine blend, tub, salted	50.0
Butter-vegetable oil blend	50.0
Butter, NFS	50.0
Butter, stick, salted	50.0
Butter, stick, unsalted	50.0
Butter, whipped, stick, salted	50.0
Butter, whipped, tub, salted	50.0
Butter, whipped, tub, unsalted	50.0
Buttermilk, fluid, 2% fat	29.5
Buttermilk, fluid, nonfat	32.0
Cabbage salad or coleslaw, with dressing	44.1
Cabbage, Chinese, cooked, fat added in cooking	32.0
Cabbage, Chinese, cooked, fat not added in cooking	32.0
Cabbage, Chinese, cooked, NS as to fat added in cooking	32.0
Cabbage, Chinese, raw	32.0
Cabbage, Chinese, salad, with dressing	32.0
Cabbage, fresh, pickled, Japanese style	32.0
Cabbage, green, cooked, fat added in cooking	32.0
Cabbage, green, cooked, fat not added in cooking	32.0
Cabbage, green, cooked, NS as to fat added in cooking	32.0
Cabbage, green, raw	32.0
Cabbage, Kim Chee style	32.0
Cabbage, red, cooked, fat added in cooking	32.0
Cabbage, red, cooked, fat not added in cooking	32.0
