name	glycemic_index
Chicken, boneless, NS as to part, fried, no coating, light or dark meat, NS as to skin eaten	0.0
Chicken, boneless, NS as to part, fried, no coating, light or dark meat, skin eaten	0.0
Chicken, boneless, NS as to part, fried, no coating, light or dark meat, skin not eaten	0.0
Chicken, boneless, NS as to part, roasted, light or dark meat, NS as to skin eaten	0.0
Chicken, boneless, NS as to part, roasted, light or dark meat, skin eaten	0.0
Chicken, boneless, NS as to part, roasted, light or dark meat, skin not eaten	0.0
Chicken, boneless, NS as to part, stewed, light or dark meat, NS as to skin eaten	0.0
Chicken, boneless, NS as to part, stewed, light or dark meat, skin eaten	0.0
Chicken, boneless, NS as to part, stewed, light or dark meat, skin not eaten	0.0
Chicken, breast, with or without bone, battered, fried, prepared skinless, coating eaten	95.0
Chicken, breast, with or without bone, battered, fried, prepared skinless, NS as to coating eaten	95.0
Chicken, breast, with or without bone, battered, fried, prepared with skin, NS as to skin/coating eaten	95.0
Chicken, breast, with or without bone, battered, fried, prepared with skin, skin/coating eaten	95.0
Chicken, breast, with or without bone, battered, fried, prepared with skin, skin/coating not eaten	95.0
Chicken, breast, with or without bone, breaded, baked or fried, prepared skinless, coating eaten	95.0
Chicken, breast, with or without bone, breaded, baked or fried, prepared with skin, NS as to skin/coating eaten	95.0
Chicken, breast, with or without bone, breaded, baked or fried, prepared with skin, skin/coating eaten	95.0
Chicken, breast, with or without bone, breaded, baked or fried, prepared with skin, skin/coating not eaten	95.0
Chicken, breast, with or without bone, broiled, NS as to skin eaten	0.0
Chicken, breast, with or without bone, broiled, skin eaten	0.0
Chicken, breast, with or without bone, broiled, skin not eaten	0.0
Chicken, breast, with or without bone, floured, baked or fried, prepared skinless, NS as to coating eaten	95.0
Chicken, breast, with or without bone, floured, baked or fried, prepared with skin, NS as to skin/coating eaten	95.0
Chicken, breast, with or without bone, floured, baked or fried, prepared with skin, skin/coating eaten	95.0
Chicken, breast, with or without bone, floured, baked or fried, prepared with skin, skin/coating not eaten	95.0
Chicken, breast, with or without bone, fried, no coating, NS as to skin eaten	0.0
Chicken, breast, with or without bone, fried, no coating, skin eaten	0.0
Chicken, breast, with or without bone, fried, no coating, skin not eaten	0.0
Chicken, breast, with or without bone, NS as to cooking method, NS as to skin eaten	0.0
Chicken, breast, with or without bone, NS as to cooking method, skin eaten	0.0
Chicken, breast, with or without bone, NS as to cooking method, skin not eaten	0.0
Chicken, breast, with or without bone, roasted, NS as to skin eaten	0.0
Chicken, breast, with or without bone, roasted, skin eaten	0.0
Chicken, breast, with or without bone, roasted, skin not eaten	0.0
Chicken, breast, with or without bone, stewed, NS as to skin eaten	0.0
Chicken, breast, with or without bone, stewed, skin eaten	0.0
Chicken, breast, with or without bone, stewed, skin not eaten	0.0
Chicken, broth, bouillon, or consomme	50.0
Chicken, canned, meat only, dark meat	0.0
Chicken, canned, meat only, light and dark meat	50.0
Chicken, canned, meat only, light meat	0.0
Chicken, canned, meat only, NS as to light or dark meat	50.0
Chicken, chicken roll, roasted, NS as to light or dark meat	50.0
Chicken, drumstick, with or without bone, battered, fried, prepared with skin, NS as to skin/coating eaten	95.0
Chicken, drumstick, with or without bone, battered, fried, prepared with skin, skin/coating eaten	95.0
Chicken, drumstick, with or without bone, battered, fried, prepared with skin, skin/coating not eaten	0.0
Chicken, drumstick, with or without bone, breaded, baked or fried, prepared skinless, coating eaten	95.0
Chicken, drumstick, with or without bone, breaded, baked or fried, prepared skinless, coating not eaten	95.0
Chicken, drumstick, with or without bone, breaded, baked or fried, prepared with skin, NS as to skin/coating eaten	95.0
Chicken, drumstick, with or without bone, breaded, baked or fried, prepared with skin, skin/coating eaten	95.0
Chicken, drumstick, with or without bone, breaded, baked or fried, prepared with skin, skin/coating not eaten	0.0
Chicken, drumstick, with or without bone, broiled, NS as to skin eaten	0.0
Chicken, drumstick, with or without bone, broiled, skin eaten	0.0
Chicken, drumstick, with or without bone, broiled, skin not eaten	0.0
Chicken, drumstick, with or without bone, floured, baked or fried, prepared skinless, coating eaten	95.0
Chicken, drumstick, with or without bone, floured, baked or fried, prepared with skin, NS as to skin/coating eaten	95.0
Chicken, drumstick, with or without bone, floured, baked or fried, prepared with skin, skin/coating eaten	95.0
Chicken, drumstick, with or without bone, floured, baked or fried, prepared with skin, skin/coating not eaten	0.0
Chicken, drumstick, with or without bone, fried, no coating, NS as to skin eaten	0.0
Chicken, drumstick, with or without bone, fried, no coating, skin eaten	0.0
Chicken, drumstick, with or without bone, fried, no coating, skin not eaten	0.0
Chicken, drumstick, with or without bone, NS as to cooking method, NS as to skin eaten	0.0
Chicken, drumstick, with or without bone, NS as to cooking method, skin eaten	0.0
Chicken, drumstick, with or without bone, NS as to cooking method, skin not eaten	0.0
Chicken, drumstick, with or without bone, roasted, NS as to skin eaten	0.0
Chicken, drumstick, with or without bone, roasted, skin eaten	0.0
Chicken, drumstick, with or without bone, roasted, skin not eaten	0.0
Chicken, drumstick, with or without bone, stewed, NS as to skin eaten	0.0
Chicken, drumstick, with or without bone, stewed, skin eaten	0.0
Chicken, drumstick, with or without bone, stewed, skin not eaten	0.0
Chicken, ground	0.0
Chicken, leg (drumstick and thigh), with or without bone, battered, fried, prepared with skin, NS as to skin/coating eaten	95.0
Chicken, leg (drumstick and thigh), with or without bone, battered, fried, prepared with skin, skin/coating eaten	95.0
Chicken, leg (drumstick and thigh), with or without bone, battered, fried, prepared with skin, skin/coating not eaten	95.0
Chicken, leg (drumstick and thigh), with or without bone, breaded, baked or fried, prepared with skin, NS as to skin/coating eaten	95.0
Chicken, leg (drumstick and thigh), with or without bone, breaded, baked or fried, prepared with skin, skin/coating eaten	95.0
Chicken, leg (drumstick and thigh), with or without bone, breaded, baked or fried, prepared with skin, skin/coating not eaten	95.0
Chicken, leg (drumstick and thigh), with or without bone, broiled, NS as to skin eaten	0.0
Chicken, leg (drumstick and thigh), with or without bone, broiled, skin eaten	0.0
Chicken, leg (drumstick and thigh), with or without bone, broiled, skin not eaten	0.0
Chicken, leg (drumstick and thigh), with or without bone, floured, baked or fried, prepared with skin, NS as to skin/coating eaten	95.0
Chicken, leg (drumstick and thigh), with or without bone, floured, baked or fried, prepared with skin, skin/coating eaten	95.0
Chicken, leg (drumstick and thigh), with or without bone, floured, baked or fried, prepared with skin, skin/coating not eaten	95.0
Chicken, leg (drumstick and thigh), with or without bone, fried, no coating, NS as to skin eaten	0.0
Chicken, leg (drumstick and thigh), with or without bone, fried, no coating, skin eaten	0.0
Chicken, leg (drumstick and thigh), with or without bone, fried, no coating, skin not eaten	0.0
Chicken, leg (drumstick and thigh), with or without bone, NS as to cooking method, NS as to skin eaten	0.0
Chicken, leg (drumstick and thigh), with or without bone, NS as to cooking method, skin not eaten	0.0
Chicken, leg (drumstick and thigh), with or without bone, roasted, NS as to skin eaten	0.0
Chicken, leg (drumstick and thigh), with or without bone, roasted, skin eaten	0.0
Chicken, leg (drumstick and thigh), with or without bone, roasted, skin not eaten	0.0
Chicken, leg (drumstick and thigh), with or without bone, stewed, NS as to skin eaten	0.0
Chicken, leg (drumstick and thigh), with or without bone, stewed, skin eaten	0.0
Chicken, leg (drumstick and thigh), with or without bone, stewed, skin not eaten	0.0
Chicken, neck or ribs, with or without bone, floured, baked or fried, prepared with skin, skin/coating not eaten	95.0
Chicken, neck or ribs, with or without bone, NS as to cooking method, NS as to skin eaten	0.0
Chicken, thigh, with or without bone, battered, fried, prepared skinless, coating not eaten	95.0
Chicken, thigh, with or without bone, battered, fried, prepared with skin, NS as to skin/coating eaten	95.0
Chicken, thigh, with or without bone, battered, fried, prepared with skin, skin/coating eaten	95.0
Chicken, thigh, with or without bone, battered, fried, prepared with skin, skin/coating not eaten	95.0
Chicken, thigh, with or without bone, breaded, baked or fried, prepared skinless, coating eaten	95.0
Chicken, thigh, with or without bone, breaded, baked or fried, prepared skinless, coating not eaten	95.0
Chicken, thigh, with or without bone, breaded, baked or fried, prepared with skin, NS as to skin/coating eaten	95.0
Chicken, thigh, with or without bone, breaded, baked or fried, prepared with skin, skin/coating eaten	95.0
Chicken, thigh, with or without bone, broiled, NS as to skin eaten	0.0
Chicken, thigh, with or without bone, broiled, skin eaten	0.0
Chicken, thigh, with or without bone, broiled, skin not eaten	0.0
Chicken, thigh, with or without bone, floured, baked or fried, prepared with skin, NS as to skin/coating eaten	95.0
Chicken, thigh, with or without bone, floured, baked or fried, prepared with skin, skin/coating eaten	95.0
Chicken, thigh, with or without bone, floured, baked or fried, prepared with skin, skin/coating not eaten	95.0
Chicken, thigh, with or without bone, fried, no coating, NS as to skin eaten	0.0
Chicken, thigh, with or without bone, fried, no coating, skin eaten	0.0
Chicken, thigh, with or without bone, fried, no coating, skin not eaten	0.0
Chicken, thigh, with or without bone, NS as to cooking method, NS as to skin eaten	0.0
Chicken, thigh, with or without bone, NS as to cooking method, skin eaten	0.0
Chicken, thigh, with or without bone, NS as to cooking method, skin not eaten	0.0
Chicken, thigh, with or without bone, roasted, NS as to skin eaten	0.0
Chicken, thigh, with or without bone, roasted, skin eaten	0.0
Chicken, thigh, with or without bone, roasted, skin not eaten	0.0
Chicken, thigh, with or without bone, smoked, skin eaten	0.0
Chicken, thigh, with or without bone, stewed, NS as to skin eaten	0.0
Chicken, thigh, with or without bone, stewed, skin eaten	0.0
Chicken, thigh, with or without bone, stewed, skin not eaten	0.0
Chicken, wing, with or without bone, battered, fried, prepared with skin, NS as to skin/coating eaten	95.0
Chicken, wing, with or without bone, battered, fried, prepared with skin, skin/coating eaten	95.0
Chicken, wing, with or without bone, battered, fried, prepared with skin, skin/coating not eaten	0.0
Chicken, wing, with or without bone, breaded, baked or fried, prepared with skin, NS as to skin/coating eaten	95.0
Chicken, wing, with or without bone, breaded, baked or fried, prepared with skin, skin/coating eaten	95.0
Chicken, wing, with or without bone, breaded, baked or fried, prepared with skin, skin/coating not eaten	0.0
Chicken, wing, with or without bone, broiled, NS as to skin eaten	0.0
Chicken, wing, with or without bone, broiled, skin eaten	0.0
Chicken, wing, with or without bone, broiled, skin not eaten	0.0
Chicken, wing, with or without bone, floured, baked or fried, prepared with skin, NS as to skin/coating eaten	95.0
Chicken, wing, with or without bone, floured, baked or fried, prepared with skin, skin/coating eaten	95.0
Chicken, wing, with or without bone, floured, baked or fried, prepared with skin, skin/coating not eaten	0.0
Chicken, wing, with or without bone, fried, no coating, NS as to skin eaten	0.0
Chicken, wing, with or without bone, fried, no coating, skin eaten	0.0
Chicken, wing, with or without bone, fried, no coating, skin not eaten	0.0
Chicken, wing, with or without bone, NS as to cooking method, NS as to skin eaten	0.0
Chicken, wing, with or without bone, NS as to cooking method, skin eaten	0.0
Chicken, wing, with or without bone, NS as to cooking method, skin not eaten	0.0
Chicken, wing, with or without bone, roasted, NS as to skin eaten	0.0
Chicken, wing, with or without bone, roasted, skin eaten	0.0
Chicken, wing, with or without bone, roasted, skin not eaten	0.0
Chicken, wing, with or without bone, stewed, NS as to skin eaten	0.0
Chicken, wing, with or without bone, stewed, skin eaten	0.0
Chicken, wing, with or without bone, stewed, skin not eaten	0.0
Chicken, with bone, NS as to part and cooking method, light or dark meat, NS as to skin eaten	0.0
Chicken, with bone, NS as to part, battered, fried, light or dark meat, prepared with skin, skin/coating eaten	95.0
Chicken, with bone, NS as to part, breaded, baked or fried, light or dark meat, prepared with skin, skin/coating eaten	95.0
Chicken, with bone, NS as to part, broiled, light or dark meat, NS as to skin eaten	0.0
Chicken, with bone, NS as to part, broiled, light or dark meat, skin eaten	0.0
Chicken, with bone, NS as to part, broiled, light or dark meat, skin not eaten	0.0
Chicken, with bone, NS as to part, floured, baked or fried, light or dark meat, prepared with skin, skin/coating not eaten	95.0
Chicken, with bone, NS as to part, roasted, light or dark meat, NS as to skin eaten	0.0
Chicken, with bone, NS as to part, roasted, light or dark meat, skin eaten	0.0
Chicken, with bone, NS as to part, roasted, light or dark meat, skin not eaten	0.0
Chicken, with bone, NS as to part, stewed, light or dark meat, NS as to skin eaten	0.0
Chicken, with bone, NS as to part, stewed, light or dark meat, skin not eaten	0.0
Chickpeas stewed with pig's feet, Puerto Rican style (Garbanzos guisados con patitos de cerdo)	28.0
Chickpeas, dry, cooked, fat added in cooking	28.0
Chickpeas, dry, cooked, fat not added in cooking	28.0
Chickpeas, dry, cooked, NS as to fat added in cooking	28.0
Chiles rellenos, cheese-filled (stuffed chili peppers)	34.5
Chili beans, barbecue beans, ranch style beans or Mexican- style beans	48.0
Chili beef soup	51.0
Chili beef soup, chunky style	51.0
Chili con carne with beans	34.0
Chili con carne with beans and cheese	33.9
Chili con carne with beans and macaroni	40.5
Chili con carne with beans and rice	54.6
Chili con carne with beans, made with pork	34.0
Chili con carne with chicken or turkey and beans	33.9
Chili con carne with venison/deer and beans	34.0
Chili con carne without beans	37.2
Chili con carne, NS as to beans	34.0
Chili con carne, NS as to beans, with cheese	33.9
Chives, raw	32.0
Chocolate flavored frosted puffed corn cereal	80.0
Chocolate syrup, skim milk added	37.5
Chocolate syrup, thin type	19.0
Chocolate syrup, whole milk added	36.0
Chocolate-flavored drink, whey- and milk-based	37.5
Chocolate-flavored soda, sugar-free	50.0
Chocolate, milk, plain	43.0
Chocolate, milk, with almonds	43.0
Chocolate, milk, with cereal	43.0
Chocolate, milk, with fruit and nuts	43.0
Chocolate, milk, with nuts, not almond or peanuts	43.0
Chocolate, milk, with peanuts	43.0
Chocolate, semi-sweet morsel	43.0
Chocolate, sweet or dark	43.0
Chocolate, white	44.0
Chocolate, white, with almonds	44.0
Chocolate, white, with cereal	44.0
Chorizos	28.0
Chow fun noodles with meat and vegetables	50.5
Chow fun rice noodles, cooked, fat added in cooking	50.5
Chow fun rice noodles, cooked, fat not added in cooking	50.5
Chow fun rice noodles, cooked, NS as to fat added in cooking	50.5
Christophine, cooked, fat not added in cooking	32.0
Chunky pea and ham soup	66.0
Churros	76.0
Cilantro, raw	32.0
Citrus juice drink, low calorie	50.0
Clam chowder, Manhattan	38.0
Clam chowder, New England, canned, reduced sodium, ready-to-serve	27.0
Clam chowder, New England, NS as to prepared with water or milk	27.0
Clam chowder, New England, prepared with milk	27.0
Clam chowder, New England, prepared with water	27.0
Clam chowder, NS as to Manhattan or New England style	29.7
Clam sauce, white	27.0
Clams, baked or broiled	50.0
Clams, battered, fried	95.0
Clams, canned	50.0
Clams, floured or breaded, fried	95.0
Clams, raw	50.0
Clams, steamed or boiled	50.0
Cobbler, apple	46.0
Cobbler, berry	59.0
Cobbler, cherry	55.0
Cobbler, peach	55.0
Cobbler, pineapple	59.0
Cocktail sauce	38.0
Cocoa and sugar mixture, lowfat milk added	37.5
Cocoa and sugar mixture, milk added, NS as to type of milk	37.0
Cocoa and sugar mixture, skim milk added	37.5
Cocoa and sugar mixture, whole milk added	36.0
Cocoa Krispies	77.0
Cocoa Pebbles	77.0
Cocoa Puffs	80.0
Cocoa with nonfat dry milk and low calorie sweetener, mixture, water added	24.0
Cocoa, hot chocolate, not from dry mix, made with whole milk	36.0
Cocoa, sugar, and dry milk mixture, water added	37.5
Cocoa, whey, and low-calorie sweetener mixture, lowfat milk added	24.0
Coconut candy, chocolate covered	43.0
Coconut custard, Puerto Rican style (Flan de coco)	38.0
Cod, baked or broiled	50.0
Cod, battered, fried	95.0
Cod, breaded or battered, baked	95.0
Cod, floured or breaded, fried	95.0
Cod, steamed or poached	0.0
Coffee and chicory, made from ground	50.0
Coffee and chicory, NS as to ground or instant	50.0
Coffee and cocoa (mocha), made from powdered instant mix, with whitener and low calorie sweetener	27.0
Coffee and cocoa (mocha), made from powdered instant mix, with whitener and low calorie sweetener, decaffeinated	27.0
Coffee and cocoa (mocha), made from powdered instant mix, with whitener, presweetened	47.5
Coffee cake, crumb or quick-bread type	57.9
Coffee cake, crumb or quick-bread type, cheese-filled	57.9
Coffee cake, crumb or quick-bread type, custard filled	57.9
Coffee cake, crumb or quick-bread type, reduced fat, cholesterol free	57.9
Coffee cake, crumb or quick-bread type, with fruit	57.9
Coffee cake, crumb or quick-bread type, with icing	57.9
Coffee cake, NFS	57.9
Coffee cake, yeast type	57.9
Coffee cake, yeast type, fat free, cholesterol free, with fruit	57.9
Coffee cake, yeast type, made from home recipe or purchased at a bakery	57.9
Coffee, acid neutralized, from powdered instant	50.0
Coffee, Cuban	68.0
Coffee, decaffeinated, and chicory, made from powdered instant	50.0
Coffee, decaffeinated, made from ground	50.0
Coffee, decaffeinated, made from powdered instant	50.0
Coffee, decaffeinated, NS as to ground or instant	50.0
Coffee, decaffeinated, with cereal	50.0
Coffee, espresso	50.0
Coffee, espresso, decaffeinated	50.0
Coffee, latte	68.0
Coffee, made from ground, equal parts regular and decaffeinated	50.0
Coffee, made from ground, regular	50.0
Coffee, made from ground, regular, flavored	50.0
Coffee, made from liquid concentrate	50.0
Coffee, made from powdered instant mix, presweetened, no whitener	68.0
Coffee, made from powdered instant mix, with whitener and low calorie sweetener	27.0
Coffee, made from powdered instant mix, with whitener and sugar, instant	47.5
Coffee, made from powdered instant, 50% less caffeine	50.0
Coffee, made from powdered instant, regular	50.0
Coffee, NS as to type	50.0
Coffee, pre-lightened, no sugar	32.1
Coffee, presweetened with sugar	66.4
Coffee, presweetened with sugar, pre-lightened	57.0
Coffee, regular, NS as to ground or instant	50.0
Cola with fruit or vanilla flavor	58.0
Cola with fruit or vanilla flavor, sugar-free	50.0
Cold cut, NFS	28.0
Coleslaw dressing	50.0
Coleslaw dressing, reduced calorie	50.0
Collards, cooked, from canned, fat added in cooking	32.0
Collards, cooked, from canned, fat not added in cooking	32.0
Collards, cooked, from fresh, fat added in cooking	32.0
Collards, cooked, from fresh, fat not added in cooking	32.0
Collards, cooked, from fresh, NS as to fat added in cooking	32.0
Collards, cooked, from frozen, fat added in cooking	32.0
Collards, cooked, from frozen, fat not added in cooking	32.0
Collards, cooked, NS as to form, fat added in cooking	32.0
Collards, cooked, NS as to form, NS as to fat added in cooking	32.0
Common Sense Oat Bran, plain	77.0
Common Sense Oat Bran, with raisins	77.0
Complete Wheat Bran Flakes, Kellogg's (formerly 40% Bran Flakes)	74.0
Conch, baked or broiled	50.0
Cookie, almond	64.0
Cookie, batter or dough, raw, not chocolate	64.0
Cookie, brownie, diet, NS as to icing	51.0
Cookie, brownie, fat free, cholesterol free, with icing	51.0
Cookie, brownie, fat free, without icing	51.0
Cookie, brownie, lowfat, with icing	51.0
Cookie, brownie, lowfat, without icing	51.0
Cookie, brownie, NS as to icing	51.0
Cookie, brownie, with cream cheese filling, without icing	51.0
Cookie, brownie, with icing	51.0
Cookie, brownie, with peanut butter fudge icing	51.0
Cookie, brownie, without icing	51.0
Cookie, butter or sugar cookie	55.0
Cookie, butter or sugar cookie, with fruit and/or nuts	55.0
Cookie, butter or sugar, with chocolate icing or filling	49.0
Cookie, butterscotch chip	64.0
Cookie, butterscotch, brownie	53.0
Cookie, chocolate and vanilla sandwich	49.0
Cookie, chocolate chip	49.0
Cookie, chocolate chip sandwich	49.0
Cookie, chocolate chip, made from home recipe or purchased at a bakery	49.0
Cookie, chocolate chip, reduced fat	42.0
Cookie, chocolate chip, with raisins	49.0
Cookie, chocolate fudge, with/without nuts	49.0
Cookie, chocolate sandwich, reduced fat	42.0
Cookie, chocolate-covered, chocolate sandwich	49.0
Cookie, chocolate, chocolate sandwich or chocolate-coated or striped	49.0
Cookie, chocolate, sandwich, with extra filling	49.0
Cookie, chocolate, with chocolate filling or coating, fat free	42.0
Cookie, cone shell, ice cream type, brown sugar	65.0
Cookie, cone shell, ice cream type, wafer or cake	65.0
Cookie, date bar	51.0
Cookie, dietetic, NFS	58.0
Cookie, dietetic, oatmeal with raisins	58.0
Cookie, dietetic, sugar or plain	58.0
Cookie, fig bar	51.0
Cookie, fig bar, fat free	51.0
Cookie, fortune	77.0
Cookie, fruit-filled bar	51.0
Cookie, fruit-filled bar, fat free	51.0
Cookie, gingersnaps	77.0
Cookie, graham cracker sandwich with chocolate and marshmallow filling	74.0
Cookie, NS as to type	56.5
Cookie, oatmeal	54.0
Cookie, oatmeal sandwich, with creme filling	54.0
Cookie, oatmeal, fat free, with raisins	54.0
Cookie, oatmeal, reduced fat, with raisins	54.0
Cookie, oatmeal, with chocolate chips	54.0
Cookie, oatmeal, with fruit filling	54.0
Cookie, oatmeal, with raisins	54.0
Cookie, peanut butter	64.0
Cookie, rich, all chocolate, with chocolate filling or chocolate chips	49.0
Cookie, rich, chocolate chip, with chocolate filling	49.0
Cookie, shortbread	64.0
Cookie, shortbread, reduced fat	64.0
Cookie, shortbread, with chocolate filling	56.5
Cookie, tea, Japanese	55.0
Cookie, vanilla sandwich	77.0
Cookie, vanilla sandwich, reduced fat	77.0
Cookie, vanilla wafer	77.0
Cookie, vanilla wafer, reduced fat	77.0
Cookie, vanilla waffle creme	77.0
Cookie, vanilla with caramel, coconut, and chocolate coating	63.0
Cordial or liqueur	50.0
Corn beverage	50.0
Corn Chex	83.0
Corn flakes, Kellogg	81.0
Corn flakes, NFS	81.0
Corn flour patty or tart, fried	75.5
Corn oil	0.0
Corn pone, baked	75.5
Corn Pops	80.0
Corn Puffs	81.0
Corn relish	54.0
Corn soup, cream of, prepared with milk	40.5
Corn soup, cream of, prepared with water	40.5
Corn syrup, light or dark	19.0
Corn with peppers, red or green, cooked, fat not added in cooking	53.5
Corn, cooked, from canned, NS as to color, fat added in cooking	46.0
Corn, cooked, from canned, NS as to color, fat not added in cooking	46.0
Corn, cooked, from canned, NS as to color, NS as to fat added in cooking	46.0
Corn, cooked, from fresh, NS as to color, fat added in cooking	53.5
Corn, cooked, from fresh, NS as to color, fat not added in cooking	53.5
Corn, cooked, from fresh, NS as to color, NS as to fat added in cooking	53.5
Corn, cooked, from fresh, with cream sauce, made with milk	46.2
Corn, cooked, from frozen, NS as to color, fat added in cooking	47.0
Corn, cooked, from frozen, NS as to color, fat not added in cooking	47.0
Corn, cooked, from frozen, NS as to color, NS as to fat added in cooking	47.0
Corn, cooked, from frozen, with cream sauce, made with milk	46.2
Corn, cooked, NS as to form, NS as to color, fat added in cooking	53.5
Corn, cooked, NS as to form, NS as to color, fat not added in cooking	53.5
Corn, cooked, NS as to form, NS as to color, NS as to fat added in cooking	53.5
Corn, cooked, NS as to form, with cream sauce, made with milk	46.2
Corn, from canned, NS as to color, cream style	46.0
Corn, NS as to form, NS as to color, cream style	53.5
Corn, raw	53.5
Corn, white, cooked, from canned, fat added in cooking	46.0
Corn, white, cooked, from canned, fat not added in cooking	46.0
Corn, white, cooked, from canned, NS as to fat added in cooking	46.0
Corn, white, cooked, from fresh, fat added in cooking	53.5
Corn, white, cooked, from fresh, fat not added in cooking	53.5
Corn, white, cooked, from fresh, NS as to fat added in cooking	53.5
Corn, white, cooked, from frozen, fat added in cooking	47.0
Corn, white, cooked, from frozen, fat not added in cooking	47.0
Corn, white, cooked, NS as to form, fat not added in cooking	53.5
Corn, white, cooked, NS as to form, NS as to fat added in cooking	53.5
Corn, white, from canned, cream style	46.0
Corn, yellow and white, cooked, from canned, fat not added in cooking	46.0
Corn, yellow and white, cooked, from fresh, fat added in cooking	53.5
Corn, yellow and white, cooked, from fresh, fat not added in cooking	53.5
Corn, yellow and white, cooked, from fresh, NS as to fat added in cooking	53.5
Corn, yellow and white, cooked, from frozen, fat not added in cooking	47.0
Corn, yellow and white, cooked, from frozen, NS as to fat added in cooking	47.0
Corn, yellow and white, cooked, NS as to form, fat not added in cooking	53.5
Corn, yellow and white, cooked, NS as to form, NS as to fat added in cooking	53.5
Corn, yellow, canned, low sodium, fat added in cooking	46.0
Corn, yellow, canned, low sodium, fat not added in cooking	46.0
Corn, yellow, cooked, from canned, fat added in cooking	46.0
Corn, yellow, cooked, from canned, fat not added in cooking	46.0
Corn, yellow, cooked, from canned, NS as to fat added in cooking	46.0
Corn, yellow, cooked, from fresh, fat added in cooking	53.5
Corn, yellow, cooked, from fresh, fat not added in cooking	53.5
Corn, yellow, cooked, from fresh, NS as to fat added in cooking	53.5
Corn, yellow, cooked, from frozen, fat added in cooking	47.0
Corn, yellow, cooked, from frozen, fat not added in cooking	47.0
Corn, yellow, cooked, from frozen, NS as to fat added in cooking	47.0
Corn, yellow, cooked, NS as to form, fat added in cooking	53.5
Corn, yellow, cooked, NS as to form, fat not added in cooking	53.5
Corn, yellow, cooked, NS as to form, NS as to fat added in cooking	53.5
Corn, yellow, from canned, cream style	46.0
Corn, yellow, from canned, cream style, fat added in cooking	46.0
Corn, yellow, NS as to form, cream style	53.5
Cornbread muffin, stick, round	75.5
Cornbread muffin, stick, round, made from home recipe	75.5
Cornbread muffin, stick, round, toasted	75.5
Cornbread stuffing	75.5
Cornbread, made from home recipe	75.5
Cornbread, prepared from mix	75.5
Corned beef, canned, ready-to-eat	0.0
Corned beef, cooked, lean and fat eaten	50.0
Corned beef, cooked, lean only eaten	0.0
Corned beef, cooked, NS as to fat eaten	50.0
Corned beef, pressed	0.0
Cornish game hen, cooked, skin not eaten	0.0
Cornish game hen, roasted, NS as to skin eaten	0.0
Cornish game hen, roasted, skin eaten	0.0
Cornish game hen, roasted, skin not eaten	0.0
Cornmeal dumpling	75.5
Cornmeal mush, made with milk	56.2
Cornmeal mush, made with water	89.0
Cornmeal sticks, boiled	75.5
Cornmeal, lime-treated, cooked (Masa harina)	69.0
Cottage cheese, farmer's	27.0
Couscous, plain, cooked, fat added in cooking	65.0
Couscous, plain, cooked, fat not added in cooking	65.0
Couscous, plain, cooked, NS as to fat added in cooking	65.0
Cowpeas, dry, cooked with pork	42.0
Cowpeas, dry, cooked, fat added in cooking	42.0
Cowpeas, dry, cooked, fat not added in cooking	42.0
Cowpeas, dry, cooked, NS as to fat added in cooking	42.0
Crab soup, cream of, prepared with milk	27.0
Crab soup, tomato-base	38.0
Crab, baked or broiled	50.0
Crab, cooked, NS as to cooking method	0.0
Crab, hard shell, steamed	0.0
Crab, soft shell, floured or breaded, fried	95.0
Cracker, 100% whole wheat	67.0
Cracker, 100% whole wheat, low sodium	67.0
Cracker, 100% whole wheat, reduced fat	67.0
Cracker, animal	65.0
Cracker, cheese	55.0
Cracker, cheese, low sodium	55.0
Cracker, cheese, reduced fat	55.0
Cracker, graham, sugar-honey coated, cinnamon crisps	74.0
Cracker, sandwich-type, peanut butter filled	59.0
Cracker, snack	55.0
Cracker, snack, fat free	55.0
Cracker, snack, low sodium	55.0
Cracker, snack, lowfat, low sodium	55.0
Cracker, snack, reduced fat	55.0
Crackers, graham	74.0
Crackers, graham, chocolate covered	74.0
Crackers, graham, fat free	74.0
Crackers, graham, higher fat	74.0
Crackers, graham, lowfat	74.0
Crackers, matzo	71.0
Crackers, matzo, low sodium	71.0
Crackers, milk	55.0
Crackers, NS as to sweet or nonsweet	74.0
Crackers, oyster	71.0
Crackers, saltine	74.0
Crackers, saltine, fat free, low sodium	74.0
Crackers, saltine, low sodium	74.0
Crackers, saltine, whole wheat	67.0
Crackers, toast thins (rye, pumpernickel, white flour)	70.0
Crackers, toast thins (rye, wheat, white flour), low sodium	70.0
Crackers, water biscuits	71.0
Crackers, wheat	67.0
Crackers, wheat, reduced fat	67.0
Cracklin' Oat Bran	77.0
Cranberry juice drink with vitamin C added	58.7
Cranberry juice drink, low calorie, with vitamin C added	50.0
Cranberry juice, unsweetened	68.0
Cranberry-apple juice drink with vitamin C added	48.0
Cranberry-apple juice drink, low calorie, with vitamin C added	50.0
Cranberry-white grape juice mixture, unsweetened	68.0
Crayfish, floured or breaded, fried	95.0
Cream cheese dressing	50.0
Cream puff, eclair, custard or cream filled, iced	59.0
Cream puff, eclair, custard or cream filled, iced, reduced fat	59.0
Cream puff, eclair, custard or cream filled, not iced	59.0
Cream puff, eclair, custard or cream filled, NS as to icing	59.0
Cream soda, sugar-free	0.0
Cream substitute, frozen	27.0
Cream substitute, light, liquid	27.0
